CSC,PJW,Preiss,UnsignedCSC
104,33653,25686,19335
111,33676,25743,19374
116,29244,27639,26327
111,5243,8516,14779
116,17307,8099,27662
102,11746,9083,14994
122,26441,18736,34619
116,28385,20632,11747
115,27602,13009,29210
116,11312,33417,16936
102,18041,24094,905
101,5942,12773,34729
116,5861,12758,34742
104,12294,1543,23795
10469,4569,4943,10469
17379,15934,8279,17379
127,25532,28001,32463
127,26684,11105,28111
17317,15968,8409,17317
99,22555,1652,17934
101,23893,13351,2896
116,23876,13366,2877
104,20878,4892,6870
111,20901,4835,6831
116,21070,27639,31367
115,23971,14005,2558
116,22874,29736,5706
15072,21682,23874,15072
22421,16768,28841,22421
100,32209,253,10033
116,15302,4048,24583
30837,26591,12576,30837
11483,7611,3772,11483
117,9834,2860,17111
99,10284,1402,16485
101,1702,28971,14435
116,1685,28956,14416
104,14112,34782,14087
19383,17522,33003,19383
111,26006,29909,14289
24259,18126,17930,24259
102,25404,11867,23401
116,21689,11363,26510
122,25424,11887,23429
19075,11484,29680,19075
104,26225,32058,16786
117,2052,27224,3740
116,824,17184,32492
19061,11498,29694,19061
117,29574,28042,22727
19060,11499,29695,19060
109,6858,22024,7670
122,29782,1904,17530
102,23055,25496,19380
11801,7705,4154,11801
3144,1656,6184,3144
33268,18829,11256,33268
31018,26612,12693,31018
17465,7945,11386,17465
1652,22733,32096,1652
1667,22748,32111,1667
6735,16725,13076,6735
17479,7959,11400,17479
31026,26620,12701,31026
106,30036,22753,4052
116,30876,21008,29234
23223,14664,20488,23223
116,24637,3624,31782
116,13894,15767,10912
31027,26621,12702,31027
8820,25037,25939,8820
8834,25051,25953,8834
25118,17812,20860,25118
21162,18760,2147,21162
117,16562,32518,2625
122,1050,18929,31004
17703,8103,11848,17703
31032,26626,12707,31032
2084,2411,4607,2084
117,23306,3225,1962
102,21163,2206,4107
117,21536,13289,33239
120,1146,13753,33544
116,21413,21221,32467
11892,26317,19782,11892
102,25943,11786,25397
11906,26331,19796,11906
31301,3463,9931,31301
101,10543,6295,31191
116,29487,18825,13546
113,7809,25866,31463
108,8470,29567,34594
116,34110,19166,31238
102,9523,29965,14916
116,13167,1357,11847
27263,4397,25937,27263
27345,4411,26047,27345
117,20477,17054,9247
117,30781,29642,26336
116,31534,10494,22591
116,19759,20823,30261
99,31647,10991,22318
115,21566,23973,21590
116,21567,23972,21589
109,33141,34741,20696
116,10898,1619,4642
108,33558,29099,28554
116,17570,14289,12103
23594,5234,6649,23594
23466,5298,6905,23466
102,13401,34465,28600
116,5557,611,26736
116,14945,4715,28403
116,32967,7560,7271
17799,8183,12296,17799
120,25293,1868,23472
116,24646,15623,23624
102,16987,7124,13037
101,20090,25442,8750
113,6329,29686,6134
116,31721,1198,14303
17439,7805,12791,17439
117,5315,4566,5588
17805,8189,12302,17805
11157,26686,16263,11157
16294,8166,23367,16294
16610,29801,28170,16610
15522,8546,19779,15522
103,217,24907,21522
111,16162,18980,20334
115,8857,29571,27412
122,2455,18963,29509
21417,34470,34632,21417
100,33871,18716,7634
104,21702,27481,29780
122,34560,14039,5159
117,24611,27686,30209
5517,29200,18924,5517
22439,8679,31560,22439
6751,29406,14682,6751
22389,8677,31734,22389
102,21035,2462,34126
103,29964,34811,16153
111,29719,33615,27587
116,6168,32467,12298
14847,29905,12252,14847
20553,34774,12155,20553
106,7154,6237,21523
33165,34064,8385,33165
127,17533,26150,10643
116,5178,20534,12959
108,12163,33963,7629
100,11551,18329,699
116,31583,25737,4463
110,32921,26755,3949
116,23540,18096,33416
6305,1925,987,6305
117,15594,21016,32419
26186,202,19324,26186
26190,206,19328,26190
111,5270,11851,1939
111,5078,12107,1811
31179,26661,13014,31179
22553,8729,31802,22553
25520,672,16194,25520
100,19175,14132,18423
122,26318,11636,159
118,19125,14146,18441
116,30189,2289,31238
104,30369,18405,26738
127,19308,14729,18162
116,12331,22641,16400
13473,10867,23206,13473
103,12980,19936,34270
112,12672,8036,34387
22485,8757,31926,22485
22977,897,23155,22977
102,13746,33688,34717
103,23002,28641,25343
100,15,9808,11091
122,2455,3913,13817
116,22563,4874,8235
103,26762,23815,9183
111,13316,282,13521
102,16336,7211,33833
23304,1128,24058,23304
110,4679,25008,18826
100,12286,2495,30290
122,11816,3913,18203
116,27791,1596,27455
29135,1423,31361,29135
100,2457,29865,14681
117,2408,29880,14698
104,6684,20944,11481
29093,1429,31543,29093
3688,22979,30202,3688
29258,1482,31612,29258
102,5407,31403,33685
101,216,5865,26563
116,295,5880,26584
104,18876,27103,19920
111,18867,27160,19943
33301,23827,34746,33301
583,24244,7726,583
29194,1514,31740,29194
100,25753,23136,21875
104,31130,8236,32715
117,1951,14266,29044
116,10411,16228,30412
520,24339,8109,520
29313,1569,31987,29313
116,13292,19188,14616
116,6519,17184,13197
127,15857,25324,8483
29729,1745,32819,29729
33221,30953,20077,33221
102,20251,33100,2799
117,27393,23761,23006
101,22474,8973,846
116,21131,21220,8491
27848,2312,6253,27848
31186,26668,13021,31186
34244,2180,17001,34244
34261,2197,17018,34261
100,26456,2631,20740
104,7549,25086,31224
12457,438,6156,12457
111,27450,25743,7548
116,34115,27639,21640
9079,1160,21374,9079
100,3403,2267,16683
122,20481,3061,18169
117,3354,2282,16700
102,34265,13128,30147
116,3615,10311,30073
104,21820,1790,5887
100,32187,34499,18308
109,11591,33751,5485
122,20934,3913,8806
116,10859,33983,27601
122,23182,26640,4233
112,3256,27944,4730
116,30098,15355,7393
105,3686,3238,16336
116,27224,11965,33600
8727,1240,21822,8727
117,4634,30954,5436
102,22795,12440,18162
100,32219,22605,4095
116,3034,21230,14228
127,6144,20835,3462
102,11297,19599,4100
101,24798,24671,25895
115,24876,24657,25913
116,19199,25022,13900
116,24877,24656,25914
104,19251,6309,2008
111,19274,6252,2049
34389,2261,17274,34389
8361,1462,22540,8361
122,30052,5211,6010
116,3159,22414,6042
102,17455,17450,18600
116,10581,10311,25803
4920,2151,2800,4920
4905,2166,2815,4905
115,4645,30119,4615
